 ZONE I=         300 J=          300
  1   1   -0.0413
  2   1    0.5477
  3   1    0.8247
  4   1    0.9264
  5   1    0.9525
  6   1    0.9329
  7   1    0.8437
  8   1    0.5973
  9   1    0.0522
 10   1   -0.5362
 11   1   -0.8187
 12   1   -0.9249
 13   1   -0.9559
 14   1   -0.9481
 15   1   -0.8829
 16   1   -0.6445
 17   1    0.0014
 18   1    0.6627
 19   1    0.9175
 20   1    0.9899
 21   1    1.0067
 22   1    1.0079
 23   1    1.0047
 24   1    1.0005
 25   1    0.9961
 26   1    0.9919
 27   1    0.9881
 28   1    0.9849
 29   1    0.9822
 30   1    0.9795
 31   1    0.9751
 32   1    0.9636
 33   1    0.9294
 34   1    0.8291
 35   1    0.5592
 36   1   -0.0250
 37   1   -0.5874
 38   1   -0.8364
 39   1   -0.9195
 40   1   -0.9306
 41   1   -0.9008
 42   1   -0.8289
 43   1   -0.6939
 44   1   -0.4519
 45   1   -0.0427
 46   1    0.4224
 47   1    0.7250
 48   1    0.8759
 49   1    0.9405
 50   1    0.9651
 51   1    0.9687
 52   1    0.9463
 53   1    0.8573
 54   1    0.5859
 55   1   -0.0463
 56   1   -0.6377
 57   1   -0.8804
 58   1   -0.9616
 59   1   -0.9877
 60   1   -0.9946
 61   1   -0.9864
 62   1   -0.9382
 63   1   -0.7551
 64   1   -0.2164
 65   1    0.5317
 66   1    0.8486
 67   1    0.9287
 68   1    0.9126
 69   1    0.7762
 70   1    0.3335
 71   1   -0.4371
 72   1   -0.8346
 73   1   -0.9601
 74   1   -0.9920
 75   1   -0.9958
 76   1   -0.9908
 77   1   -0.9827
 78   1   -0.9736
 79   1   -0.9648
 80   1   -0.9578
 81   1   -0.9537
 82   1   -0.9527
 83   1   -0.9542
 84   1   -0.9569
 85   1   -0.9601
 86   1   -0.9630
 87   1   -0.9638
 88   1   -0.9565
 89   1   -0.9191
 90   1   -0.7795
 91   1   -0.3545
 92   1    0.3933
 93   1    0.8011
 94   1    0.9343
 95   1    0.9661
 96   1    0.9569
 97   1    0.9038
 98   1    0.7498
 99   1    0.3726
100   1   -0.2594
101   1   -0.6907
102   1   -0.8793
103   1   -0.9548
104   1   -0.9835
105   1   -0.9932
106   1   -0.9942
107   1   -0.9893
108   1   -0.9768
109   1   -0.9494
110   1   -0.8922
111   1   -0.7788
112   1   -0.5774
113   1   -0.2667
114   1    0.1020
115   1    0.3912
116   1    0.5671
117   1    0.6654
118   1    0.7098
119   1    0.7077
120   1    0.6537
121   1    0.5246
122   1    0.2664
123   1   -0.1513
124   1   -0.5456
125   1   -0.7812
126   1   -0.8938
127   1   -0.9390
128   1   -0.9538
129   1   -0.9543
130   1   -0.9448
131   1   -0.9232
132   1   -0.8853
133   1   -0.8298
134   1   -0.7642
135   1   -0.7077
136   1   -0.6838
137   1   -0.7023
138   1   -0.7475
139   1   -0.7900
140   1   -0.8106
141   1   -0.8118
142   1   -0.8125
143   1   -0.8288
144   1   -0.8604
145   1   -0.8960
146   1   -0.9241
147   1   -0.9375
148   1   -0.9278
149   1   -0.8730
150   1   -0.7131
151   1   -0.3112
152   1    0.3439
153   1    0.7482
154   1    0.9069
155   1    0.9612
156   1    0.9783
157   1    0.9754
158   1    0.9411
159   1    0.8214
